No.,Name,%,Candidate,Party,Votes,%,Candidate,Party,Votes,%,Margin
29,Sriperumbudur(SC),74.68,K. Selvaperunthagai,INC,"115,353",43.65,K. Palani,ADMK,"104,474",39.53,"10,879"
30,Pallavaram,61.02,I. Karunanithi,DMK,"126,427",47.49,S. Rajendran,ADMK,"88,646",33.30,"37,781"
31,Tambaram,59.90,S. R. Raja,DMK,"116,840",46.93,T. K. M. Chinnayya,ADMK,"80,016",32.14,"36,824"
32,Chengalpattu,63.97,M. Varalakshmi,DMK,"130,573",47.64,M. Gajendran,ADMK,"103,908",37.91,"26,665"
33,Thiruporur,76.96,S. S. Balaji,VCK,"93,954",41.44,Thirukachur Arumugam,PMK,"92,007",40.58,"1,947"
34,Cheyyur(SC),78.75,M. Babu,VCK,"82,750",46.20,S. Kanitha Sampath,ADMK,"78,708",43.94,"4,042"
35,Maduranthakam(SC),81.97,Maragatham Kumaravel,ADMK,"86,646",46.62,Mallai C. E. Sathya,ADMK,"83,076",44.70,"3,570"
36,Uthiramerur,80.83,K. Sundar,DMK,"93,427",44.38,V.Somasundaram,ADMK,"91,805",43.61,"1,622"
37,Kancheepuram,74.20,C. V. M. P. Ezhilarasan,DMK,"103,235",44.77,P. Mageshkumar,PMK,"91,236",39.71,"11,999"
38,Arakkonam(SC),75.41,S. Ravi,ADMK,"85,399",49.82,J. Gowthama Sannah,VCK,"58,230",33.97,"27,169"
39,Sholingur,80.60,A. N. Munirathinam,INC,"110,228",49.18,A. M. Krishnan,PMK,"83,530",37.27,"24,878"
41,Ranipet,77.63,R. Gandhi,DMK,"103,291",49.79,S. M. Sukumar,ADMK,"86,793",41.84,"16,498"
42,Arcot,79.93,J. L. Eswarappan,DMK,"103,885",49.52,K. L. Elavazhagan,PMK,"83,927",40.01,"19,958"
40,Katpadi,74.43,Durai Murugan,DMK,"85,140",45.71,V. Ramu,ADMK,"84,394",45.31,746
43,Vellore,70.96,P. Karthikeyan,DMK,"84,299",46.86,S. R. K. Appu,ADMK,"75,118",41.76,"9,181"
44,Anaikattu,77.05,A. P. Nandakumar,DMK,"95,159",48.11,D. Velazhagan,ADMK,"88,799",44.89,"6,360"
45,Kilvaithinankuppam(SC),76.63,M. Jaganmoorthy,ADMK,"84,579",48.57,K. Seetharaman,DMK,"73,997",42.50,"10,582"
46,Gudiyattam(SC),72.94,V. Amulu,DMK,"100,412",47.45,G. Paridha,ADMK,"93,511",44.19,"6,901"
47,Vaniyambadi,75.93,G Sendhil Kumar,ADMK,"88,018",46.33,N. Mohammad Nayeem,IUML,"83,114",43.74,"4,904"
48,Ambur,74.59,A. C. Vilwanathan,DMK,"90,476",50.86,K. Nazar Mohammed,ADMK,"70,244",39.49,"20,232"
49,Jolarpet,81.52,K. Devaraji,DMK,"89,490",45.57,K. C. Veeramani,ADMK,"88,399",45.02,"1,091"
50,Tirupattur(Vellore),77.72,A. Nallathambi,DMK,"96,522",51.91,T. K. Raja,PMK,"68,282",36.72,"28,240"
51,Uthangarai(SC),78.99,T. M. Tamilselvam,ADMK,"99,675",52.96,J. S. Arumugam,INC,"71,288",37.87,"28,387"
52,Bargur,79.64,D. Mathiazhagan,DMK,"97,256",49.17,A. Krishnan,ADMK,"84,642",42.80,"12,614"
53,Krishnagiri,78.92,K. Ashok Kumar,ADMK,"96,050",45.38,T. Senguttuvan,DMK,"95,256",45.01,794
54,Veppanahalli,81.38,K. P. Munusamy,ADMK,"94,104",45.87,P. Murugan,DMK,"91,050",44.38,"3,054"
55,Hosur,70.53,Y. Prakaash,DMK,"118,231",47.65,S. Jyothi Balakrishna Reddy,ADMK,"105,864",42.67,"12,367"
56,Thalli,77.23,T. Ramachandran,CPI,"120,641",62.18,Dr. C. Nagesh Kumar,BJP,"64,415",33.20,"56,226"
57,Palacode,87.03,K. P. Anbalagan,ADMK,"110,070",53.28,P. K. Murugan,DMK,"81,970",39.68,"28,100"
58,Pennagaram,85.22,G. K. Mani,PMK,"106,123",50.46,P. N. P. Inbasekaran,DMK,"84,937",40.39,"21,186"
59,Dharmapuri,80.56,S. P. Venkateshwaran,PMK,"105,630",48.60,Thadangam P. Subramani,DMK,"78,770",36.24,"26,860"
60,Pappireddippatti,83.24,A. Govindasamy,ADMK,"114,507",51.81,M. Prabhu Rajasekar,DMK,"77,564",35.10,"36,943"
61,Harur(SC),79.39,V. Sampathkumar,ADMK,"99,061",49.89,A. Kumar,CPI(M),"68,699",34.60,"30,362"
62,Chengam(SC),81.31,M. P. Giri,DMK,"108,081",48.26,M. S. Nainakannu,ADMK,"96,511",43.09,"11,570"
63,Tiruvannamalai,72.87,E. V. Velu,DMK,"137,876",66.02,S. Thanigaivel,BJP,"43,203",20.69,"94,673"
64,Kilpennathur,80.41,K. Pitchandi,DMK,"104,675",51.34,K. Selvakumar,PMK,"77,888",38.20,"26,787"
65,Kalasapakkam,80.62,P. S. T. Saravanan,DMK,"94,134",47.92,V. Panneerselvam,ADMK,"84,912",43.23,"9,222"
66,Polur,82.39,S. S. Krishnamoorthy,ADMK,"97,732",48.38,K. V. Sekaran,DMK,"88,007",43.57,"9,725"
67,Arani,79.73,Sevvoor S. Ramachandran,ADMK,"102,961",46.50,S. S. Anbazhagan,DMK,"99,833",45.09,"3,128"
68,Cheyyar,82.52,O. Jothi,DMK,"102,460",47.78,K. Mohan,ADMK,"90,189",42.05,"12,771"
69,Vandavasi(SC),77.28,S. Ambethkumar,DMK,"102,064",54.88,S. Murali Shankar,PMK,"66,111",35.55,"35,953"
70,Gingee,79.30,K. S. Masthan,DMK,"109,625",52.99,M. P. S. Rajendran,PMK,"73,822",35.68,"35,803"
71,Mailam,78.33,C. Sivakumar,PMK,"81,044",45.79,Dr. R. Masilamani,DMK,"78,814",44.53,"2,230"
72,Tindivanam,79.17,P. Arjunan,ADMK,"87,152",47.74,P. Seethapathy,DMK,"77,399",42.40,"9,753"
73,Vanur(SC),80.41,M. Chakrapani,ADMK,"92,219",50.61,Vanni Arasu,VCK,"70,492",38.69,"21,727"
74,Villupuram,78.14,R. Lakshmanan,DMK,"102,271",49.92,C. V. Shanmugam,ADMK,"87,403",42.66,"14,868"
75,Vikravandi,82.45,N. Pugazhenthi,DMK,"93,730",48.81,R. Muthamilselvan,ADMK,"84,157",43.47,"9,573"
76,Tirukkoyilur,77.03,K. Ponmudy,DMK,"110,980",56.56,V. A. T. Kalivaradhan,BJP,"51,300",26.14,"59,680"
77,Ulundurpettai,83.44,A. J. Manikannan,DMK,"115,451",47.15,R. Kumaraguru,ADMK,"110,195",45.00,"5,256"
78,Rishivandiyam,80.17,K. Karthikeyan,DMK,"113,912",52.96,A. Santhosh,ADMK,"72,184",33.56,"41,728"
79,Sankarapuram,80.35,T. Udhayasuriyan,DMK,"121,186",56.16,Dr. G. Raja,PMK,"75,223",34.86,"45,963"
80,Kallakurichi(SC),78.80,M. Senthilkumar,ADMK,"110,643",48.99,K. I. Manirathinam,INC,"84,752",37.52,"25,891"
81,Gangavalli(SC),78.03,A. Nallathambi,ADMK,"89,568",48.02,J. Rekha Priyadarshini,DMK,"82,207",44.08,"7,361"
82,Attur(SC),78.42,A. P. Jayasankaran,ADMK,"95,308",47.72,K. Chinnadurai,DMK,"87,051",43.58,"8,257"
83,Yercaud(ST),84.12,G. Chitra,ADMK,"121,561",50.88,C. Tamilselvan,DMK,"95,606",40.02,"25,955"
84,Omalur,84.08,R. Mani,ADMK,"142,488",57.22,Rangarajan Mohan Kumaramangalam,INC,"87,194",35.01,"55,294"
85,Mettur,76.15,S. Sadhasivam,PMK,"97,055",44.43,S. Srinivasa Perumal,DMK,"96,399",44.13,656
86,Edappadi,86.68,Edappadi K. Palaniswami,ADMK,"163,154",65.97,Sampath Kumar,DMK,"69,352",28.04,"93,802"
87,Sankari,84.67,S. Sundararajan,ADMK,"115,472",49.72,K. M. Rajesh,DMK,"95,427",41.09,"20,045"
88,Salem (West),72.28,Arul Ramadas,PMK,"105,483",48.69,A. Rajendran,DMK,"83,984",38.77,"21,499"
89,Salem (North),73.32,R. Rajendran,DMK,"93,432",46.17,G. Venkatachalam,ADMK,"85,844",42.42,"7,588"
90,Salem (South),76.08,E. Balasubramanian,ADMK,"97,506",48.76,A. S. Saravanan,DMK,"74,897",37.45,"22,609"
91,Veerapandi,86.02,M. Rajamuthu,ADMK,"111,682",49.92,Dr. A. K. Tharun,DMK,"91,787",41.03,"19,895"
92,Rasipuram(SC),83.23,M. Mathiventhan,DMK,"90,727",46.08,V. Saroja,ADMK,"88,775",45.09,"1,952"
93,Senthamangalam(ST),81.80,K. Ponnusamy,DMK,"90,681",45.51,S. Chandran,ADMK,"80,188",40.25,"10,493"
94,Namakkal,80.18,P. Ramalingam,DMK,"106,494",51.51,K. P. P. Baskar,ADMK,"78,633",38.03,"27,861"
95,Paramathi-Velur,82.87,S. Sekar,ADMK,"86,034",46.83,K. S. Moorthy,DMK,"78,372",42.66,"7,662"
96,Tiruchengode,79.90,E. R. Eswaran,KMDK,"81,688",44.23,Pon. Saraswathi,ADMK,"78,826",42.69,"2,862"
97,Kumarapalayam,79.35,P. Thangamani,ADMK,"100,800",49.92,M. Venkatachalam,DMK,"69,154",34.25,"31,646"
98,Erode (East),66.56,Thirumagan Evera,INC,"67,300",44.27,M. Yuvaraja,ADMK,"58,396",38.41,"8,904"
99,Erode (West),70.14,S. Muthusamy,DMK,"100,757",49.01,K. V. Ramalingam,ADMK,"78,668",38.27,"22,089"
100,Modakkurichi,76.11,Dr. C.K. Saraswathi,BJP,"78,125",42.96,Subbulakshmi Jagadeesan,DMK,"77,844",42.81,281
101,Dharapuram(SC),75.02,N. Kayalvizhi,DMK,"89,986",46.39,L. Murugan,BJP,"88,593",45.67,"1,393"
102,Kangayam,77.69,M. P. Saminathan,DMK,"94,197",47.14,A. S. Ramalingam,ADMK,"86,866",43.47,"7,331"
103,Perundurai,83.31,S. Jayakumar,ADMK,"85,125",44.84,K. K. C. Balu,DMK,"70,618",37.20,"14,507"
104,Bhavani,84.36,K. C. Karuppannan,ADMK,"100,915",50.11,K. P. Durairaj,DMK,"78,392",38.93,"22,523"
105,Anthiyur,80.32,A. G. Venkatachalam,DMK,"79,096",44.84,K. S. Shanmugavel,ADMK,"77,821",44.12,"1,275"
106,Gobichettipalayam,83.58,K. A. Sengottaiyan,ADMK,"108,608",50.68,G. V. Manimaaran,DMK,"80,045",37.36,"28,563"
107,Bhavanisagar(SC),77.08,A. Bannari,ADMK,"99,181",49.45,P. L. Sundaram,CPI,"83,173",41.47,"16,008"
108,Udhagamandalam,68.48,R. Ganesh,INC,"65,530",46.44,M. Bhojarajan,BJP,"60,182",42.65,"5,348"
109,Gudalur(SC),73.08,Pon. Jayaseelan,ADMK,"64,496",46.65,S. Kasilingam,DMK,"62,551",45.24,"1,945"
110,Coonoor,70.74,K. Ramachandran,DMK,"61,820",45.49,Kappachi D. Vinoth,ADMK,"57,715",42.47,"4,105"
111,Mettupalayam,75.80,A. K. Selvaraj,ADMK,105231,46.75,T. R. Shanmuga Sundaram,DMK,102775,45.66,"2,456"
112,Avanashi(SC),75.79,P. Dhanapal,ADMK,"117,284",55.16,R. Athiyamaan,DMK,"66,382",31.22,"50,982"
113,Tiruppur (North),62.80,K. N. Vijayakumar,ADMK,"113,384",47.62,Subramanian M.,CPI,"73,282",30.78,"40,102"
114,Tiruppur (South),62.79,K. Selvaraj,DMK,"75,535",43.31,Gunasekaran S,ADMK,"70,826",40.61,"4,709"
115,Palladam,67.09,M. S. M. Anandan,ADMK,"126,903",48.53,K. Muthurathinam,DMK,"94,212",36.03,"32,691"
116,Sulur,76.18,V. P. Kandasamy,ADMK,"118,968",49.23,M. Kalichamy,DMK,"87,036",36.02,"32,302"
117,Kavundampalayam,66.60,G. Arunkumar,ADMK,"135,669",43.78,R Krishnan,DMK,"1,25,893",40.62,"9,776"
118,Coimbatore (North),59.87,Amman K. Arjunan,ADMK,"81,454",40.16,V M Shamuga Sundaram,DMK,"77,453",38.19,"4,001"
119,Thondamuthur,70.54,S. P. Velumani,ADMK,"124,225",53.89,Karthikeya Sivasenapathy,DMK,"82,595",35.83,"41,630"
120,Coimbatore (South),61.22,Vanathi Srinivasan,BJP,"53,209",34.38,Kamal Haasan,MNM,"51,481",33.26,"1,728"
121,Singanallur,62.11,K. R. Jayaram,ADMK,"81,244",40.22,Karthik N,DMK,"70,390",34.84,"10,854"
122,Kinathukadavu,71.10,S. Damodaran,ADMK,"101,537",43.68,Kuruchi Prabhakaran,DMK,"100,442",43.21,"1,095"
123,Pollachi,78.08,Pollachi V. Jayaraman,ADMK,"80,567",45.44,K. Varadharajan,DMK,"78,842",44.47,"1,725"
124,Valparai(SC),70.63,T. K. Amulkandasami,ADMK,"71,672",49.37,Arumugam M.,CPI,"59,449",40.95,"12,223"
125,Udumalaipettai,72.05,Udumalai K. Radhakrishnan,ADMK,"96,893",49.85,K. Thennarsu,INC,"74,998",38.59,"21,895"
126,Madathukulam,73.20,C. Mahendran,ADMK,"84,313",46.35,Jayaramakrishnan,DMK,"77,875",42.81,"6,438"
127,Palani,74.07,I. P. Senthil Kumar,DMK,"108,566",52.86,K. Ravi Manoharan,ADMK,"78,510",38.23,"30,056"
128,Oddanchatram,83.63,R. Sakkarapani,DMK,"109,970",54.51,N. P. Nataraj,ADMK,"81,228",40.26,"28,742"
129,Athoor,78.76,I. Periyasamy,DMK,"165,809",72.11,M Thilagabama,PMK,"30,238",13.15,"135,571"
130,Nilakottai(SC),75.57,S. Thenmozhi,ADMK,"91,461",49.49,S. K. Murugavel Rajan,DMK,"63,843",34.55,"27,618"
131,Natham,79.44,Natham R. Viswanathan,ADMK,"107,762",47.84,M. A. Andi Ambalam,DMK,"95,830",42.54,"11,932"
132,Dindigul,70.49,Dindigul C. Sreenivaasan,ADMK,"90,545",46.83,N. Pandi,CPI(M),"72,848",34.34,"17,697"
133,Vedasandur,80.85,S. Gandhirajan,DMK,"106,481",49.97,V. P. B. Paramasivam,ADMK,"88,928",41.73,"17,553"
134,Aravakurichi,82.78,R. Elango,DMK,"93,369",52.72,K. Annamalai,BJP,"68,553",38.71,"24,816"
135,Karur,84.49,V. Senthilbalaji,DMK,"101,757",49.08,M. R. Vijayabhaskar,ADMK,"89,309",43.08,"12,448"
136,Krishnarayapuram(SC),84.91,K. Sivagama Sundari,DMK,"96,540",53.37,N. Muthukumar (A) Thanesh,ADMK,"64,915",35.88,"29,625"
137,Kulithalai,86.88,R. Manickam,DMK,"100,829",51.06,N. R. Chandrasekar,ADMK,"77,289",39.14,"23,540"
138,Manapaarai,76.54,P. Abdul Samad,DMK,"98,077",44.23,Chandraseker. R,ADMK,"85,834",38.71,"12,243"
139,Srirangam,77.07,M. Palaniyandi,DMK,"113,904",47.41,K. P. Krishnan,ADMK,"93,989",39.12,"19,915"
140,Tiruchirappalli (West),68.02,K. N. Nehru,DMK,"118,133",64.52,V. Padmanathan,ADMK,"33,024",18.04,"85,109"
141,Tiruchirappalli (East),67.77,Inigo S. Irudayaraj,DMK,"94,302",54.56,Vellamandi N. Natarajan,ADMK,"40,505",23.43,"53,797"
142,Thiruverumbur,67.19,Anbil Mahesh,DMK,"105,424",53.51,P. Kumar,ADMK,"55,727",28.29,"49,697"
143,Lalgudi,80.11,A. Soundara Pandian,DMK,"84,914",48.59,D. R. Dharmarajè,ADMK,"67,965",38.89,"16,949"
144,Manachanallur,80.56,S. Kathiravan,DMK,"116,334",59.14,M. Paranjothi,ADMK,"56,716",28.83,"59,618"
145,Musiri,77.24,N. Thiyagarajan,DMK,"90,624",50.43,M. Selvarasu,ADMK,"63,788",35.50,"26,836"
146,Thuraiyur(SC),77.77,S. Stalinkumar,DMK,"87,786",49.91,T. Indira Gandhi,ADMK,"65,715",37.36,"22,071"
147,Perambalur(SC),79.28,M. Prabhakaran,DMK,"122,090",50.87,R. Thamizhselvan,ADMK,"90,325",37.94,"31,765"
148,Kunnam,80.39,S. S. Sivasankar,DMK,"1,03,922",47.26,R. T. Ramachandran,ADMK,"97,593",44.38,"6,329"
149,Ariyalur,85.00,K. Chinnappa,DMK,"103,975",46.16,ThamaraiS. Rajendran,ADMK,"100,741",44.73,"3,234"
150,Jayankondam,81.12,Ka. So. Ka. Kannan,DMK,"99,529",46.00,K. Balu,PMK,"94,077",43.48,"5,452"
151,Tittakudi(SC),76.65,C. V. Ganesan,DMK,"83,726",49.78,D. Periyasamy,BJP,"62,163",36.96,"21,563"
152,Vriddhachalam,77.79,R. Radhakrishnan,INC,"77,064",39.17,J. Karthikeyan,PMK,"76,202",38.73,862
153,Neyveli,75.06,Saba Rajendran,DMK,"75,177",45.80,K. Jagan,PMK,"74,200",45.21,977
154,Panruti,80.26,T. Velmurugan,DMK,"93,801",47.60,R. Rajendran,ADMK,"89,104",45.22,"4,697"
155,Cuddalore,76.00,G. Iyappan,DMK,"84,563",46.46,M. C. Sampath,ADMK,"79,412",43.63,"5,151"
156,Kurinjipadi,81.71,M. R. K. Panneerselvam,DMK,"1,01,456",51.04,Selvi Ramajayam,ADMK,"83,929",42.22,"17,527"
157,Bhuvanagiri,79.30,A. Arunmozhithevan,ADMK,"96,453",48.92,Durai K. Saravanan,DMK,"88,194",44.73,"8,259"
158,Chidambaram,73.02,K. A. Pandian,ADMK,"91,961",50.16,A. S. Abdul Rahman Rabbani,IUML,"75,024",40.92,"16,937"
159,Kattumannarkoil(SC),76.61,Sinthanai Selvan,VCK,"86,056",49.02,N. Murugumaran,ADMK,"74,608",43.00,"11,448"
160,Sirkazhi(SC),75.74,M. Panneerselvam,DMK,"94,057",49.16,P. V. Bharathi,ADMK,"81,909",42.81,"12,148"
161,Mayiladuthurai,70.97,S. Rajakumar,INC,"73,642",42.17,Sithamalli A. Palanisami,PMK,"70,900",40.60,"2,742"
162,Poompuhar,75.33,Nivedha M. Murugan,DMK,"96,102",46.24,S. Pavunraj,ADMK,"92,803",44.65,"3,299"
163,Nagapattinam,72.52,Aloor Shanavas,VCK,"66,281",46.17,Thanga Kathiravan,ADMK,"59,043",41.13,"7,238"
164,Kilvelur(SC),79.99,Nagai Maali (A)P. Mahalingam,CPI(M),"67,988",47.55,Vadivel Ravanan,PMK,"51,003",35.67,"16,985"
165,Vedaranyam,81.99,O. S. Manian,ADMK,"78,719",49.80,S. K. Vetharathinam,DMK,"66,390",42.00,"12,329"
166,Thiruthuraipoondi(SC),77.43,K. Marimuthu,CPI,"97,092",52.23,C. Suresh Kumar,ADMK,"67,024",36.06,"30,068"
167,Mannargudi,74.31,Dr. T. R. B. Rajaa,DMK,"87,172",45.11,Siva. Rajamanickam,ADMK,"49,779",25.76,"37,393"
168,Thiruvarur,73.68,K. Poondi Kalaivanan,DMK,"108,906",52.29,A. N. R. Panneerselvam,ADMK,"57,732",27.72,"51,174"
169,Nannilam,81.51,R. Kamaraj,ADMK,"103,637",46.70,S. Jothiraman,DMK,"99,213",44.70,"4,424"
170,Thiruvidaimarudur(SC),76.47,Govi. Chezhiyan,DMK,"95,763",48.26,Union S. Veeramani,ADMK,"85,083",42.87,"10,680"
171,Kumbakonam,72.34,G. Anbalagan,DMK,"96,057",48.62,M. Srithar Vandayar,ADMK,"74,674",37.80,"21,383"
172,Papanasam,75.49,Dr. M. H. Jawahirullah,DMK,"86,567",43.95,K. Gopinathan,ADMK,"70,294",35.69,"16,273"
173,Thiruvaiyaru,78.72,Durai Chandrasekaran,DMK,"103,210",48.82,Poondi S. Venkatesan,BJP,"49,560",23.44,"53,650"
174,Thanjavur,66.98,T. K. G. Neelamegam,DMK,"103,772",53.25,V. Arivudainambi,ADMK,"56,623",29.06,"47,149"
175,Orathanadu,78.70,R. Vaithilingam,ADMK,"90,063",46.95,M. Ramachandran,DMK,"61,228",31.92,"28,835"
176,Pattukkottai,72.07,K. Annadurai,DMK,"79,065",44.62,N. R. Rengarajan,ADMK,"53,796",30.36,"25,269"
177,Peravurani,77.6,Peravurani N. Ashokkumar,DMK,"89,130",52.17,S. V. Thirugnana Sambandam,ADMK,"65,627",38.41,"23,503"
178,Gandharvakottai(SC),78.18,M. Chinnadurai,CPI(M),"69,710",44.23,S. Jayabharati,ADMK,"56,989",36.16,"12,721"
179,Viralimalai,85.89,C. Vijayabaskar,ADMK,"102,179",52.83,M. Palaniappan,DMK,"78,581",40.63,"23,598"
180,Pudukkottai,73.72,Dr. V. Muthuraja,DMK,"85,802",47.70,V. R. Karthik Thondaiman,ADMK,"72,801",40.47,"13,001"
181,Thirumayam,76.37,S. Regupathy,DMK,"71,349",41.00,P. K. Vairamuthu,ADMK,"69,967",40.20,"1,382"
182,Alangudi,79.06,Meyyanathan Siva V,DMK,"87,935",51.17,Dharma. Thangavel,ADMK,"62,088",36.13,"25,847"
183,Aranthangi,70.90,T. Ramachandran,INC,"81,835",48.70,M. Rajanayagam,ADMK,"50,942",30.31,"30,893"
184,Karaikudi,66.96,S. Mangudi,INC,"75,954",35.75,H. Raja,BJP,"54,365",25.59,"21,589"
185,Tiruppattur(Sivaganga),72.24,K. R. Periyakaruppan,DMK,"103,682",49.19,Marudhu Alaguraj,ADMK,"66,308",31.46,"37,374"
186,Sivaganga,67.09,P. R. Senthilnathan,ADMK,"82,153",40.66,S. Gunasekaran,CPI(M),"70,900",35.09,"11,253"
187,Manamadurai(SC),72.88,A. Tamilarasi,DMK,"89,364",44.01,S. Nagarajan,ADMK,"75,273",37.07,"14,091"
188,Melur,74.61,P. Selvam,ADMK,"83,344",45.60,T. Ravichandran,INC,"48,182",26.36,"35,162"
189,Madurai East,72.26,P. Moorthy,DMK,"122,729",51.59,Gopalakrishnan,ADMK,"73,125",30.74,"49,604"
190,Sholavandan(SC),80.17,A. Venkatesan,DMK,"84,240",48.04,Manickam,ADMK,"67,195",38.32,"17,045"
191,Madurai North,64.27,G. Thalapathi,DMK,"73,010",46.64,P. Saravanan,BJP,"50,094",32.00,"22,916"
192,Madurai South,62.24,M. Boominathan,DMK,"62,812",42.49,S.S.Saravanan,ADMK,"56,297",38.08,"6,515"
193,Madurai Central,61.77,Palanivel Thiagarajan,DMK,"73,205",48.99,Jothi Muthuramalingam,ADMK,"39,029",26.12,"34,176"
194,Madurai West,65.67,Sellur K. Raju,ADMK,"83,883",41.59,C. Chinnammal,DMK,"74,762",37.07,"9,121"
195,Thiruparankundram,73.36,V. V. Rajan Chellappa,ADMK,"103,683",43.96,S. K. Ponnuthai,CPI(M),"74,194",31.46,"29,489"
196,Tirumangalam,78.86,R. B. Udhaya Kumar,ADMK,"100,338",45.51,M. Maniraman,DMK,"86,251",39.12,"14,087"
197,Usilampatti,74.19,P. Ayyappan,ADMK,"71,255",33.53,P. V. Kathiravan,DMK,"63,778",30.01,"7,477"
198,Andipatti,75.28,A. Maharajan,DMK,"93,541",44.64,A. Logirajan,ADMK,"85,003",40.57,"8,538"
199,Periyakulam(SC),70.69,K. S. Saravana Kumar,DMK,"92,251",45.71,M. Murugan,ADMK,"70,930",35.15,"21,321"
200,Bodinayakanur,77.04,O. Panneerselvam,ADMK,"100,050",46.58,Thanga Tamil Selvan,DMK,"89,029",41.45,"11,021"
201,Cumbum,70.17,N. Eramakrishnan,DMK,"104,800",51.81,S. P. M. Syed Khan,ADMK,"62,387",30.84,"42,413"
202,Rajapalayam,74.63,S. Thangappandian,DMK,"74,158",41.50,K. T. Rajenthra Bhalaji,ADMK,"70,260",39.32,"3,898"
203,Srivilliputhur(SC),73.83,E. M. Manraj,ADMK,"70,475",38.09,P. S. W. Madhava Rao†,INC,"57,737",31.20,"12,738"
204,Sattur,75.69,A. R. R. Raghuraman,DMK,"74,174",38.68,R. K. Ravichandran,ADMK,"62,995",32.85,"11,179"
205,Sivakasi,70.88,A. M. S. G. Ashokan,INC,"78,947",42.66,Lakshmi Ganesan,ADMK,"61,628",33.30,"17,319"
206,Virudhunagar,72.16,A. R. R. Seenivasan,DMK,"73,297",45.32,G. Pandurangan,BJP,"51,598",32.13,"21,699"
